epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2247.32,4.20963,8.13797,3.60666,0,0,0,0,4.15799,7.63803,4.37283,2.17168e-05,2.17168e-05,2.17168e-05
70,2279.49,3.85287,8.15765,3.69482,0,0,0,0,4.11944,7.63827,4.45707,2.16244e-05,2.16244e-05,2.16244e-05
71,2311.31,4.07565,8.20809,3.60046,0,0,0,0,4.02952,7.55436,4.21634,2.1532e-05,2.1532e-05,2.1532e-05
72,2343.22,4.08083,8.4084,3.62163,0,0,0,0,4.0217,7.53844,4.19645,2.14396e-05,2.14396e-05,2.14396e-05
73,2375.31,4.15691,8.19349,3.60619,0,0,0,0,4.01225,7.54183,4.1769,2.13472e-05,2.13472e-05,2.13472e-05
74,2408.07,4.05541,8.28364,3.60126,0,0,0,0,4.09256,7.63634,4.49601,2.12548e-05,2.12548e-05,2.12548e-05
75,2440.49,3.97469,8.17105,3.59997,0,0,0,0,4.02891,7.61975,4.20564,2.11624e-05,2.11624e-05,2.11624e-05
76,2472.67,4.04471,8.1411,3.59242,0,0,0,0,4.00749,7.58307,4.12061,2.107e-05,2.107e-05,2.107e-05
77,2504.72,3.93258,8.38303,3.56307,2e-05,1e-05,1e-05,0,3.99335,7.5541,4.09831,2.09776e-05,2.09776e-05,2.09776e-05
78,2537.41,3.88612,8.34394,3.5627,2e-05,1e-05,1e-05,0,4.0183,7.58065,4.2229,2.08852e-05,2.08852e-05,2.08852e-05
79,2569.41,3.98223,8.11158,3.57875,2e-05,1e-05,1e-05,0,4.0718,7.52057,4.12054,2.07928e-05,2.07928e-05,2.07928e-05
80,2601.05,3.82388,8.05122,3.60094,2e-05,1e-05,1e-05,0,3.98287,7.49553,4.11118,2.07004e-05,2.07004e-05,2.07004e-05
81,2633.82,3.89638,8.08618,3.55574,2e-05,1e-05,1e-05,0,4.06987,7.60338,4.30709,2.0608e-05,2.0608e-05,2.0608e-05
82,2666.59,3.86871,8.48697,3.54855,2e-05,1e-05,1e-05,0,4.03104,7.57143,4.22488,2.05156e-05,2.05156e-05,2.05156e-05
83,2698.66,3.81675,8.18189,3.53278,2e-05,1e-05,1e-05,0,4.00784,7.49985,4.1392,2.04232e-05,2.04232e-05,2.04232e-05
84,2730.75,3.81212,8.2761,3.51043,3e-05,1e-05,1e-05,0,3.96231,7.50915,4.15882,2.03308e-05,2.03308e-05,2.03308e-05
85,2762.78,3.81225,8.04398,3.5185,3e-05,1e-05,2e-05,0,3.91832,7.50024,4.08759,2.02384e-05,2.02384e-05,2.02384e-05
86,2794.73,3.77049,8.3831,3.50312,3e-05,1e-05,2e-05,0,3.93734,7.49953,4.10855,2.0146e-05,2.0146e-05,2.0146e-05
