epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,450.047,3.87727,7.51487,1.45867,3e-05,0.00034,2e-05,0,3.5298,6.18863,1.47107,2.28256e-05,2.28256e-05,2.28256e-05
58,457.205,3.75182,7.56519,1.47307,8e-05,0.00032,4e-05,2e-05,3.50056,6.18506,1.44933,2.27332e-05,2.27332e-05,2.27332e-05
59,464.695,3.84822,7.53765,1.44279,2e-05,0.00016,1e-05,0,3.53128,6.18287,1.4816,2.26408e-05,2.26408e-05,2.26408e-05
60,471.817,3.7185,7.43741,1.46597,2e-05,0.00016,1e-05,0,3.56046,6.17999,1.50051,2.25484e-05,2.25484e-05,2.25484e-05
61,479.177,3.66487,7.47091,1.46224,2e-05,0.00016,1e-05,0,3.50621,6.18299,1.46812,2.2456e-05,2.2456e-05,2.2456e-05
62,486.487,3.74156,7.43125,1.46448,2e-05,1e-05,1e-05,0,3.55219,6.18227,1.49807,2.23636e-05,2.23636e-05,2.23636e-05
63,493.767,3.82111,7.48548,1.43277,2e-05,1e-05,1e-05,0,3.49389,6.17444,1.46504,2.22712e-05,2.22712e-05,2.22712e-05
64,500.801,3.78854,7.63917,1.46541,2e-05,1e-05,1e-05,0,3.50611,6.18924,1.47387,2.21788e-05,2.21788e-05,2.21788e-05
65,507.947,3.73154,7.63298,1.45682,5e-05,0.00034,3e-05,1e-05,3.47689,6.16615,1.45616,2.20864e-05,2.20864e-05,2.20864e-05
66,515.268,3.77977,7.61399,1.42788,1e-05,1e-05,1e-05,0,3.48545,6.16924,1.46747,2.1994e-05,2.1994e-05,2.1994e-05
67,522.375,3.77765,7.49263,1.44156,1e-05,1e-05,1e-05,0,3.48782,6.16883,1.46763,2.19016e-05,2.19016e-05,2.19016e-05
68,529.474,3.74905,7.54944,1.44937,4e-05,0.00016,2e-05,0,3.46254,6.16669,1.45311,2.18092e-05,2.18092e-05,2.18092e-05
69,536.786,3.73141,7.24852,1.41775,2e-05,0.00019,1e-05,0,3.48751,6.16199,1.47114,2.17168e-05,2.17168e-05,2.17168e-05
70,543.945,3.69619,7.44079,1.43998,4e-05,0.00016,4e-05,1e-05,3.45236,6.16196,1.44473,2.16244e-05,2.16244e-05,2.16244e-05
71,551.117,3.75716,7.5114,1.40926,5e-05,0.00016,3e-05,1e-05,3.43175,6.15153,1.43076,2.1532e-05,2.1532e-05,2.1532e-05
72,558.392,3.74855,7.41569,1.42262,1e-05,1e-05,1e-05,0,3.4435,6.15251,1.44834,2.14396e-05,2.14396e-05,2.14396e-05
73,565.915,3.80963,7.3806,1.42072,5e-05,0.00017,3e-05,0,3.43201,6.14837,1.44418,2.13472e-05,2.13472e-05,2.13472e-05
74,573.152,3.71456,7.39317,1.40981,5e-05,0.00017,3e-05,1e-05,3.44619,6.14941,1.44948,2.12548e-05,2.12548e-05,2.12548e-05
75,580.435,3.70916,7.47597,1.42812,1e-05,1e-05,1e-05,0,3.41858,6.13348,1.44456,2.11624e-05,2.11624e-05,2.11624e-05
76,587.822,3.74561,7.46766,1.40058,9e-05,0.00051,5e-05,1e-05,3.38066,6.13816,1.41505,2.107e-05,2.107e-05,2.107e-05
77,595.318,3.72333,7.49616,1.40673,7e-05,0.00033,6e-05,1e-05,3.37692,6.13422,1.41912,2.09776e-05,2.09776e-05,2.09776e-05
78,602.905,3.78329,7.34185,1.42992,3e-05,0.00016,2e-05,0,3.42364,6.12629,1.45121,2.08852e-05,2.08852e-05,2.08852e-05
79,610.339,3.73876,7.33184,1.42127,5e-05,0.00017,3e-05,1e-05,3.41118,6.13235,1.43367,2.07928e-05,2.07928e-05,2.07928e-05
80,617.571,3.64233,7.34575,1.39232,8e-05,0.00051,5e-05,1e-05,3.3586,6.11837,1.4041,2.07004e-05,2.07004e-05,2.07004e-05
81,624.973,3.66149,7.50481,1.40175,1e-05,1e-05,2e-05,0,3.40246,6.1261,1.44134,2.0608e-05,2.0608e-05,2.0608e-05
82,632.356,3.68223,7.35045,1.37745,4e-05,0.00016,3e-05,0,3.3713,6.12713,1.42488,2.05156e-05,2.05156e-05,2.05156e-05
83,639.778,3.6647,7.35845,1.42124,6e-05,0.00032,3e-05,1e-05,3.35458,6.1214,1.41193,2.04232e-05,2.04232e-05,2.04232e-05
84,647.132,3.61055,7.31534,1.40063,6e-05,0.00017,3e-05,1e-05,3.34311,6.12055,1.39868,2.03308e-05,2.03308e-05,2.03308e-05
85,654.209,3.63282,7.35834,1.39549,4e-05,0.00016,2e-05,0,3.33746,6.1145,1.40051,2.02384e-05,2.02384e-05,2.02384e-05
86,661.377,3.53681,7.28659,1.38599,5e-05,0.00032,3e-05,0,3.34985,6.11147,1.41519,2.0146e-05,2.0146e-05,2.0146e-05
87,668.595,3.627,7.26876,1.38344,1e-05,1e-05,2e-05,0,3.35604,6.09928,1.41641,2.00536e-05,2.00536e-05,2.00536e-05
88,675.79,3.68275,7.49433,1.384,1e-05,0.00016,1e-05,0,3.34066,6.09363,1.4034,1.99612e-05,1.99612e-05,1.99612e-05
89,682.776,3.565,7.33331,1.37665,1e-05,0.00016,1e-05,0,3.35428,6.09904,1.41849,1.98688e-05,1.98688e-05,1.98688e-05
90,689.873,3.5922,7.35868,1.38347,3e-05,0.00017,2e-05,0,3.32692,6.09334,1.39182,1.97764e-05,1.97764e-05,1.97764e-05
91,696.86,3.60036,7.24997,1.34446,3e-05,0.00017,2e-05,0,3.33219,6.09075,1.4006,1.9684e-05,1.9684e-05,1.9684e-05
92,704.118,3.78362,7.71796,1.41589,4e-05,0.00017,3e-05,0,3.33573,6.09756,1.40509,1.95916e-05,1.95916e-05,1.95916e-05
93,711.38,3.5811,7.20367,1.37892,4e-05,0.00016,2e-05,0,3.31401,6.08988,1.39507,1.94992e-05,1.94992e-05,1.94992e-05
94,718.302,3.4604,7.19714,1.37488,4e-05,0.00016,2e-05,0,3.3015,6.07948,1.37863,1.94068e-05,1.94068e-05,1.94068e-05
95,725.582,3.69819,7.29093,1.38995,6e-05,0.00017,3e-05,1e-05,3.30743,6.07692,1.38531,1.93144e-05,1.93144e-05,1.93144e-05
96,732.561,3.68997,7.24212,1.38461,6e-05,0.00017,3e-05,1e-05,3.32132,6.07832,1.40179,1.9222e-05,1.9222e-05,1.9222e-05
97,739.626,3.53066,7.1538,1.33646,1e-05,1e-05,1e-05,0,3.31965,6.07741,1.39472,1.91296e-05,1.91296e-05,1.91296e-05
98,746.621,3.49392,7.07147,1.34631,0.00013,3e-05,8e-05,2e-05,3.31334,6.07584,1.397,1.90372e-05,1.90372e-05,1.90372e-05
99,753.592,3.57858,7.4173,1.37937,0.00014,0.00019,8e-05,1e-05,3.32672,6.07882,1.40339,1.89448e-05,1.89448e-05,1.89448e-05
100,760.831,3.60679,7.25669,1.35296,4e-05,0.00031,3e-05,0,3.28194,6.05798,1.36999,1.88524e-05,1.88524e-05,1.88524e-05
101,768.086,3.63228,7.25894,1.37245,7e-05,0.00045,4e-05,1e-05,3.28138,6.05591,1.37131,1.876e-05,1.876e-05,1.876e-05
102,775.457,3.43616,7.13933,1.36189,3e-05,0.00016,2e-05,0,3.2889,6.05533,1.38145,1.86676e-05,1.86676e-05,1.86676e-05
103,782.546,3.54143,7.11339,1.37536,1e-05,1e-05,1e-05,0,3.26658,6.06282,1.36282,1.85752e-05,1.85752e-05,1.85752e-05
104,789.719,3.64875,7.44853,1.35956,5e-05,0.00018,3e-05,0,3.28606,6.05705,1.38109,1.84828e-05,1.84828e-05,1.84828e-05
105,796.91,3.57017,7.20637,1.335,3e-05,2e-05,2e-05,0,3.26129,6.04232,1.35875,1.83904e-05,1.83904e-05,1.83904e-05
106,804.146,3.65502,7.21344,1.33554,5e-05,0.00016,3e-05,1e-05,3.25145,6.03804,1.34899,1.8298e-05,1.8298e-05,1.8298e-05
107,811.287,3.52224,7.2007,1.35049,8e-05,0.00017,5e-05,1e-05,3.25375,6.04696,1.35425,1.82056e-05,1.82056e-05,1.82056e-05
108,818.284,3.51128,7.35866,1.35159,7e-05,0.00017,4e-05,0,3.24585,6.03967,1.34651,1.81132e-05,1.81132e-05,1.81132e-05
109,825.383,3.51888,7.30806,1.32164,5e-05,0.00016,3e-05,1e-05,3.23926,6.02595,1.34856,1.80208e-05,1.80208e-05,1.80208e-05
110,832.416,3.49507,7.11384,1.31631,0.00022,0.00019,0.00011,2e-05,3.23104,6.02592,1.33282,1.79284e-05,1.79284e-05,1.79284e-05
111,839.702,3.54584,7.14812,1.33569,7e-05,0.00017,4e-05,0,3.24154,6.02202,1.34642,1.7836e-05,1.7836e-05,1.7836e-05
112,846.931,3.48205,7.09959,1.33544,9e-05,0.0002,5e-05,1e-05,3.23903,6.02863,1.34594,1.77436e-05,1.77436e-05,1.77436e-05
113,853.98,3.52177,7.14668,1.31208,9e-05,0.00018,5e-05,1e-05,3.22345,6.02738,1.33536,1.76512e-05,1.76512e-05,1.76512e-05
114,861.167,3.38612,7.06118,1.31701,9e-05,0.00034,5e-05,1e-05,3.24748,6.01032,1.3497,1.75588e-05,1.75588e-05,1.75588e-05
115,868.296,3.6174,7.15546,1.31871,0.0002,0.00035,0.00011,2e-05,3.2286,6.00766,1.33895,1.74664e-05,1.74664e-05,1.74664e-05
116,875.479,3.39543,7.1787,1.35058,8e-05,0.00033,4e-05,1e-05,3.23759,6.00916,1.34789,1.7374e-05,1.7374e-05,1.7374e-05
117,882.682,3.53117,7.05134,1.31817,9e-05,0.00018,5e-05,1e-05,3.22103,6.01752,1.33332,1.72816e-05,1.72816e-05,1.72816e-05
118,889.734,3.34688,6.99159,1.31856,0.00022,0.00033,0.00019,3e-05,3.21368,6.01147,1.32812,1.71892e-05,1.71892e-05,1.71892e-05
119,896.959,3.52523,7.06106,1.31501,5e-05,0.00031,5e-05,1e-05,3.21653,6.00205,1.33778,1.70968e-05,1.70968e-05,1.70968e-05
120,904.112,3.4634,7.04432,1.31369,0.00012,0.00049,0.0001,2e-05,3.22349,6.00969,1.34011,1.70044e-05,1.70044e-05,1.70044e-05
121,911.283,3.52821,7.07095,1.3166,0.0001,0.00034,5e-05,1e-05,3.22157,5.99549,1.33841,1.6912e-05,1.6912e-05,1.6912e-05
122,918.426,3.39256,7.07631,1.2963,0.00013,0.00033,8e-05,1e-05,3.20457,6.0015,1.33024,1.68196e-05,1.68196e-05,1.68196e-05
123,925.657,3.44778,7.14192,1.31166,5e-05,0.00018,4e-05,1e-05,3.18597,5.9795,1.31619,1.67272e-05,1.67272e-05,1.67272e-05
124,933.092,3.47357,7.17447,1.31689,0.00013,0.00034,9e-05,1e-05,3.20576,6.00421,1.33445,1.66348e-05,1.66348e-05,1.66348e-05
125,940.209,3.47342,6.98476,1.31872,9e-05,0.00033,5e-05,1e-05,3.23076,6.00658,1.346,1.65424e-05,1.65424e-05,1.65424e-05
126,947.579,3.45341,7.15422,1.32879,0.00018,0.00051,0.00012,2e-05,3.19345,5.98091,1.31762,1.645e-05,1.645e-05,1.645e-05
127,955.108,3.46296,7.21077,1.32295,0.00017,0.00042,0.0001,2e-05,3.19739,5.96056,1.31902,1.63576e-05,1.63576e-05,1.63576e-05
128,962.362,3.4181,7.07432,1.31128,0.00016,0.0005,9e-05,1e-05,3.18198,5.96276,1.3131,1.62652e-05,1.62652e-05,1.62652e-05
129,969.648,3.46744,6.98812,1.31487,7e-05,0.00021,3e-05,1e-05,3.20252,5.9787,1.32535,1.61728e-05,1.61728e-05,1.61728e-05
130,977.246,3.46602,6.97504,1.31674,0.00017,0.00312,0.00013,2e-05,3.20947,5.9783,1.32676,1.60804e-05,1.60804e-05,1.60804e-05
131,984.415,3.45885,6.96336,1.29888,7e-05,0.0002,4e-05,1e-05,3.23191,5.9865,1.34293,1.5988e-05,1.5988e-05,1.5988e-05
